fulcrum_id,q1_site,q2_district,survey_site,deidentified_village,q6_communities,q7_protected_area,q8_travel_time_muncipal_admin,q9_public_trans_freq,q10_time_dist_headquarter,q11_walk_time_all_weather_road,q12_travel_time_higher_secondary,q13_subcenter_walk_time,q14_phc_travel_time,q15_taluk_hosp,q16_priv_clinic,q17_priv_hospital,q18_regular_electric,q19_solar_supply,q20_avg_pow_sup,q21_drinking_water_yard,q22_no_public_tanks,hand_pump,spring_water,q24_surface,q25_water_collect_time,q26_ro_plant,q27_non_tribal,q28_tribal_population,latitude,longitude
fa72412f-966d-490c-a27f-86ad0a803c1e,Central India,Kanha,Kanha,KanhaI296,mix,Outside,80,0,140,20,10,10,80,80,80,140,100,0,20,0,0,,0,0,10,0,70.0,530,22.4214211,80.4773209
93b48c61-35cf-4457-9fba-6f7de0f92c7f,Central India,Kanha,Kanha,KanhaI156,mix,Outside,120,4,300,0,20,10,20,120,120,120,100,0,13,0,0,,0,0,20,0,250.0,1000,22.2962627,80.7420553
5ac51837-7315-4000-8511-22dde4c1ed2e,Central India,Kanha,Kanha,KanhaP992,mix,Outside,240,2,250,0,0,0,0,240,30,30,100,0,24,0,0,,0,0,10,0,1100.0,300,22.3081178,80.4838936
fea796ea-e3c8-42ec-8d77-fd7bc9fabe8e,Central India,Kanha,Kanha,Kanhab346,mix,Outside,90,2,240,0,30,30,30,90,30,240,100,0,24,0,0,8.0,0,0,10,0,190.0,465,22.2276586,80.5082669
a10e1d52-5343-4cd4-8dd3-009263c95436,Central India,Kanha,Kanha,KanhaG998,mix,Outside,60,4,180,0,0,0,0,60,60,180,90,0,24,7,1,12.0,0,0,10,0,400.0,1100,22.3244723,80.7715028
200d0108-bad8-4ef0-a18f-bd04b41ee5b9,Central India,Kanha,Kanha,KanhaQ701,mix,Outside,70,0,120,30,30,30,50,70,45,45,80,0,16,0,0,,0,0,30,0,74.0,512,22.4676297,80.5567613
03ffca2e-d8e6-47c4-9f72-e54f974128cf,Central India,Kanha,Kanha,KanhaK911,mix,Outside,30,0,180,30,0,20,30,30,30,60,100,0,20,0,0,32.0,0,0,10,0,110.0,1360,22.1382914,80.713515
3ec4b746-b13f-42f1-b25a-4ae71e9ac1e7,Central India,Kanha,Kanha,KanhaM923,mix,Outside,45,3,180,0,0,10,30,45,10,30,100,0,24,0,0,7.0,0,0,20,0,437.0,200,22.1026688,80.7065345
3aaafbeb-9c52-4844-b772-71c39fd2c805,Central India,Kanha,Kanha,KanhaD539,mix,Outside,60,4,180,0,0,20,30,60,30,180,90,0,22,0,0,10.0,0,0,10,0,190.0,1024,22.224677,80.7746106
b2175d5f-b915-464b-8efc-bb99ecadffc3,Central India,Kanha,Kanha,Kanhab828,mix,Outside,60,2,180,0,60,10,60,60,30,180,100,0,24,0,0,,0,0,10,0,430.0,160,22.2345654,80.4609986
10393e63-2acf-43e0-8dad-a904320ac6f5,Kerala,wayanad,Wayanad,WayanadL367,mix,Outside,40,0,160,10,40,60,10,70,40,70,90,0,24,0,1,,100,0,5,0,0.0,40,11.91859885,76.0346942
408a772c-b8dc-4834-8824-1140b656f637,Kerala,wayanad,Wayanad,Wayanadc267,tribal,Outside,30,10,150,5,30,45,5,60,30,60,100,0,24,0,0,,100,0,30,0,0.0,90,11.91192987,76.03556894
